Subj	ROI	Cond	Y
01	lh_G_Ins_lg_and_S_cent_ins	prestim	0.087306005954775
01	lh_G_Ins_lg_and_S_cent_ins	stim	0.265612190773846
01	lh_G_and_S_cingul-Ant	prestim	0.0791073792219672
01	lh_G_and_S_cingul-Ant	stim	0.0819720408310018
01	lh_G_and_S_cingul-Mid-Ant	prestim	0.0993059735360038
01	lh_G_and_S_cingul-Mid-Ant	stim	0.161820768950755
01	lh_G_and_S_cingul-Mid-Post	prestim	0.0663168769740587
01	lh_G_and_S_cingul-Mid-Post	stim	0.171612698062433
01	lh_G_and_S_frontomargin	prestim	0.0867098140405008
01	lh_G_and_S_frontomargin	stim	0.0930088331307643
01	lh_G_and_S_occipital_inf	prestim	0.074112868126274
01	lh_G_and_S_occipital_inf	stim	0.131534751036018
01	lh_G_and_S_paracentral	prestim	0.0644640384435375
01	lh_G_and_S_paracentral	stim	0.0966054002850923
01	lh_G_and_S_subcentral	prestim	0.0924241013969958
01	lh_G_and_S_subcentral	stim	0.282419499562665
01	lh_G_and_S_transv_frontopol	prestim	0.0551702407364977
01	lh_G_and_S_transv_frontopol	stim	0.0834845280497174
01	lh_G_cingul-Post-dorsal	prestim	0.0738225070176208
01	lh_G_cingul-Post-dorsal	stim	0.0886013629809301
01	lh_G_cingul-Post-ventral	prestim	0.0707842160405221
01	lh_G_cingul-Post-ventral	stim	0.20519551510501
01	lh_G_cuneus	prestim	0.0636810020829521
01	lh_G_cuneus	stim	0.0757695065282087
01	lh_G_front_inf-Opercular	prestim	0.0662735012329684
01	lh_G_front_inf-Opercular	stim	0.131159218354946
01	lh_G_front_inf-Orbital	prestim	0.0666888453209325
01	lh_G_front_inf-Orbital	stim	0.075501690974985
01	lh_G_front_inf-Triangul	prestim	0.0737630663968593
01	lh_G_front_inf-Triangul	stim	0.208771242327019
01	lh_G_front_middle	prestim	0.0665082873763192
01	lh_G_front_middle	stim	0.0999862904714016
01	lh_G_front_sup	prestim	0.0710178069629531
01	lh_G_front_sup	stim	0.111190045757758
01	lh_G_insular_short	prestim	0.0781746740007196
01	lh_G_insular_short	stim	0.198010018032863
01	lh_G_oc-temp_lat-fusifor	prestim	0.0756431107841098
01	lh_G_oc-temp_lat-fusifor	stim	0.181723630238737
01	lh_G_oc-temp_med-Lingual	prestim	0.081334767445844
01	lh_G_oc-temp_med-Lingual	stim	0.107135754894013
01	lh_G_oc-temp_med-Parahip	prestim	0.0616177933614516
01	lh_G_oc-temp_med-Parahip	stim	0.123664106583848
