Subj	ROI	Y
01	lh_G_Ins_lg_and_S_cent_ins	-22.2741950154117
01	lh_G_and_S_cingul-Ant	-21.9781216267792
01	lh_G_and_S_cingul-Mid-Ant	-22.0153876447385
01	lh_G_and_S_cingul-Mid-Post	-22.0838351847006
01	lh_G_and_S_frontomargin	-22.4509977686992
01	lh_G_and_S_occipital_inf	-22.1882992685491
01	lh_G_and_S_paracentral	-22.4100635663774
01	lh_G_and_S_subcentral	-21.6467072900463
01	lh_G_and_S_transv_frontopol	-23.0968664697574
01	lh_G_cingul-Post-dorsal	-21.9233792128369
01	lh_G_cingul-Post-ventral	-21.6954816133685
01	lh_G_cuneus	-22.0288633482042
01	lh_G_front_inf-Opercular	-22.2347278822966
01	lh_G_front_inf-Orbital	-21.6773529530966
01	lh_G_front_inf-Triangul	-22.2573205637252
01	lh_G_front_middle	-23.2237768866637
01	lh_G_front_sup	-22.8022308111743
01	lh_G_insular_short	-22.5891759955389
01	lh_G_oc-temp_lat-fusifor	-21.5125462138923
01	lh_G_oc-temp_med-Lingual	-22.2593986831627
01	lh_G_oc-temp_med-Parahip	-21.7279408197857
01	lh_G_occipital_middle	-23.0806324966373
01	lh_G_occipital_sup	-23.4953274812375
01	lh_G_orbital	-22.1561018849092
01	lh_G_pariet_inf-Angular	-22.7168371048507
01	lh_G_pariet_inf-Supramar	-22.4821048577634
01	lh_G_parietal_sup	-23.4802417101452
01	lh_G_postcentral	-22.8901967990897
01	lh_G_precentral	-22.9538539371016
01	lh_G_precuneus	-22.0726904316484
01	lh_G_rectus	-21.7149299929274
01	lh_G_subcallosal	-21.5535423836734
01	lh_G_temp_sup-G_T_transv	-21.1584904745237
01	lh_G_temp_sup-Lateral	-22.7881266847138
01	lh_G_temp_sup-Plan_polar	-21.4581537704102
01	lh_G_temp_sup-Plan_tempo	-21.6049130030801
01	lh_G_temporal_inf	-22.1214733042237
01	lh_G_temporal_middle	-23.1609501895353
01	lh_Lat_Fis-ant-Horizont	-21.517310005989
01	lh_Lat_Fis-ant-Vertical	-21.7108867969866
01	lh_Lat_Fis-post	-22.0775982164597
01	lh_Pole_occipital	-22.3265864074034
01	lh_Pole_temporal	-21.6610251364043
01	lh_S_calcarine	-22.5143281654747
01	lh_S_central	-23.2114333335747
01	lh_S_cingul-Marginalis	-22.3086855391892
01	lh_S_circular_insula_ant	-21.8545065746179
01	lh_S_circular_insula_inf	-22.0191835037387
01	lh_S_circular_insula_sup	-22.1187510204083
01	lh_S_collat_transv_ant	-21.7387227585286
