label,mean_effect,pplus,lower95,upper95,significant,effect_direction
lh_G_and_S_cingul-Ant,1.0852,1,0.9848,1.185,TRUE,positive
lh_G_and_S_cingul-Mid-Ant,1.0389,1,0.9397,1.1372,TRUE,positive
lh_G_and_S_cingul-Mid-Post,1.0623,1,0.9589,1.1616,TRUE,positive
lh_G_and_S_frontomargin,0.7251,1,0.6231,0.8273,TRUE,positive
lh_G_and_S_occipital_inf,1.0119,1,0.9084,1.1153,TRUE,positive
lh_G_and_S_paracentral,0.8101,1,0.7077,0.9138,TRUE,positive
lh_G_and_S_subcentral,1.0621,1,0.9615,1.1609,TRUE,positive
lh_G_and_S_transv_frontopol,0.5874,1,0.4863,0.6873,TRUE,positive
lh_G_cingul-Post-dorsal,1.18,1,1.0787,1.2792,TRUE,positive
lh_G_cingul-Post-ventral,1.1007,1,0.9977,1.2021,TRUE,positive
lh_G_cuneus,1.1444,1,1.0412,1.2473,TRUE,positive
lh_G_front_inf-Opercular,0.8696,1,0.7673,0.9698,TRUE,positive
lh_G_front_inf-Orbital,0.7843,1,0.686,0.8865,TRUE,positive
lh_G_front_inf-Triangul,0.7866,1,0.6839,0.8885,TRUE,positive
lh_G_front_middle,0.7861,1,0.6849,0.8891,TRUE,positive
lh_G_front_sup,0.9286,1,0.8303,1.0272,TRUE,positive
lh_G_Ins_lg_and_S_cent_ins,1.1078,1,1.0064,1.2092,TRUE,positive
lh_G_insular_short,0.9928,1,0.8913,1.0923,TRUE,positive
lh_G_oc-temp_lat-fusifor,1.2008,1,1.0986,1.3033,TRUE,positive
lh_G_oc-temp_med-Lingual,1.1337,1,1.0294,1.238,TRUE,positive
lh_G_oc-temp_med-Parahip,1.1271,1,1.0253,1.2284,TRUE,positive
lh_G_occipital_middle,0.8466,1,0.7447,0.9491,TRUE,positive
lh_G_occipital_sup,0.9657,1,0.8603,1.0708,TRUE,positive
lh_G_orbital,0.969,1,0.868,1.0695,TRUE,positive
lh_G_pariet_inf-Angular,0.9056,1,0.8037,1.0065,TRUE,positive
lh_G_pariet_inf-Supramar,0.9223,1,0.8213,1.022,TRUE,positive
lh_G_parietal_sup,0.803,1,0.6995,0.9044,TRUE,positive
lh_G_postcentral,0.8535,1,0.7535,0.9532,TRUE,positive
lh_G_precentral,0.8223,1,0.7206,0.9233,TRUE,positive
lh_G_precuneus,1.0925,1,0.9909,1.1927,TRUE,positive
lh_G_rectus,0.8831,1,0.7814,0.9839,TRUE,positive
lh_G_subcallosal,1.1063,1,1.0041,1.2095,TRUE,positive
lh_G_temp_sup-G_T_transv,1.2882,1,1.1893,1.3863,TRUE,positive
lh_G_temp_sup-Lateral,1.03,1,0.9273,1.1301,TRUE,positive
lh_G_temp_sup-Plan_polar,1.1702,1,1.0685,1.2686,TRUE,positive
lh_G_temp_sup-Plan_tempo,1.0295,1,0.9296,1.1289,TRUE,positive
lh_G_temporal_inf,1.1127,1,1.0103,1.2145,TRUE,positive
lh_G_temporal_middle,0.9316,1,0.8278,1.0336,TRUE,positive
lh_Lat_Fis-ant-Horizont,0.8863,1,0.7842,0.9888,TRUE,positive
lh_Lat_Fis-ant-Vertical,0.8643,1,0.7648,0.9653,TRUE,positive
lh_Lat_Fis-post,1.2681,1,1.1674,1.3691,TRUE,positive
lh_Pole_occipital,1.0338,1,0.9256,1.1389,TRUE,positive
lh_Pole_temporal,0.9846,1,0.8821,1.0871,TRUE,positive
lh_S_calcarine,1.1973,1,1.0941,1.302,TRUE,positive
lh_S_central,0.9584,1,0.8598,1.059,TRUE,positive
lh_S_cingul-Marginalis,1.113,1,1.0122,1.2124,TRUE,positive
lh_S_circular_insula_ant,1.043,1,0.9415,1.1442,TRUE,positive
lh_S_circular_insula_inf,1.2133,1,1.1089,1.3164,TRUE,positive
lh_S_circular_insula_sup,1.2154,1,1.1141,1.3154,TRUE,positive
lh_S_collat_transv_ant,1.0259,1,0.9223,1.1271,TRUE,positive
lh_S_collat_transv_post,1.0104,1,0.9052,1.1145,TRUE,positive
lh_S_front_inf,0.9804,1,0.8789,1.0809,TRUE,positive
lh_S_front_middle,0.7921,1,0.6899,0.8949,TRUE,positive
lh_S_front_sup,0.8242,1,0.7209,0.9232,TRUE,positive
lh_S_interm_prim-Jensen,0.9595,1,0.8574,1.0579,TRUE,positive
lh_S_intrapariet_and_P_trans,0.9852,1,0.8852,1.0851,TRUE,positive
lh_S_oc_middle_and_Lunatus,0.9039,1,0.8016,1.0098,TRUE,positive
lh_S_oc_sup_and_transversal,1.0096,1,0.9065,1.1148,TRUE,positive
lh_S_oc-temp_lat,1.0865,1,0.9842,1.1867,TRUE,positive
lh_S_oc-temp_med_and_Lingual,1.1857,1,1.0834,1.2862,TRUE,positive
lh_S_occipital_ant,1.035,1,0.9302,1.1386,TRUE,positive
lh_S_orbital_lateral,0.6772,1,0.5725,0.7788,TRUE,positive
lh_S_orbital_med-olfact,1.0388,1,0.9362,1.1405,TRUE,positive
lh_S_orbital-H_Shaped,0.9631,1,0.8626,1.0625,TRUE,positive
lh_S_parieto_occipital,1.1535,1,1.0529,1.2527,TRUE,positive
lh_S_pericallosal,1.1353,1,1.0358,1.2344,TRUE,positive
lh_S_postcentral,0.9212,1,0.8193,1.0245,TRUE,positive
lh_S_precentral-inf-part,1.0321,1,0.9326,1.1309,TRUE,positive
lh_S_precentral-sup-part,0.8719,1,0.7715,0.9736,TRUE,positive
lh_S_suborbital,1.0352,1,0.9306,1.1396,TRUE,positive
lh_S_subparietal,1.2066,1,1.1033,1.3052,TRUE,positive
lh_S_temporal_inf,0.9923,1,0.8894,1.0961,TRUE,positive
lh_S_temporal_sup,0.9266,1,0.8227,1.0283,TRUE,positive
