label,mean_effect,pplus,lower95,upper95,significant,effect_direction
lh_G_and_S_cingul-Ant,0.0056,0.8812,-0.0042,0.0155,FALSE,positive
lh_G_and_S_cingul-Mid-Ant,0.0056,0.8868,-0.004,0.0154,FALSE,positive
lh_G_and_S_cingul-Mid-Post,0.0061,0.9039,-0.0036,0.0162,FALSE,positive
lh_G_and_S_frontomargin,0.0059,0.8963,-0.0038,0.0158,FALSE,positive
lh_G_and_S_occipital_inf,0.0055,0.876,-0.0045,0.0155,FALSE,positive
lh_G_and_S_paracentral,0.0058,0.8892,-0.0041,0.0158,FALSE,positive
lh_G_and_S_subcentral,0.0068,0.9055,-0.0036,0.0184,FALSE,positive
lh_G_and_S_transv_frontopol,0.0052,0.8655,-0.005,0.0152,FALSE,positive
lh_G_cingul-Post-dorsal,0.0057,0.8918,-0.004,0.0157,FALSE,positive
lh_G_cingul-Post-ventral,0.0061,0.9022,-0.0034,0.0161,FALSE,positive
lh_G_cuneus,0.0056,0.8804,-0.0043,0.0158,FALSE,positive
lh_G_front_inf-Opercular,0.0058,0.8944,-0.0037,0.0157,FALSE,positive
lh_G_front_inf-Orbital,0.0058,0.889,-0.0039,0.0155,FALSE,positive
lh_G_front_inf-Triangul,0.0059,0.8964,-0.0037,0.0159,FALSE,positive
lh_G_front_middle,0.0054,0.8748,-0.0045,0.0154,FALSE,positive
lh_G_front_sup,0.0054,0.874,-0.0044,0.0153,FALSE,positive
lh_G_Ins_lg_and_S_cent_ins,0.0062,0.9023,-0.0035,0.0162,FALSE,positive
lh_G_insular_short,0.006,0.8976,-0.0036,0.0158,FALSE,positive
lh_G_oc-temp_lat-fusifor,0.0059,0.8941,-0.0039,0.0159,FALSE,positive
lh_G_oc-temp_med-Lingual,0.0056,0.8812,-0.0042,0.0155,FALSE,positive
lh_G_oc-temp_med-Parahip,0.0062,0.9064,-0.0034,0.0161,FALSE,positive
lh_G_occipital_middle,0.0054,0.8744,-0.005,0.0153,FALSE,positive
lh_G_occipital_sup,0.0055,0.8811,-0.0046,0.0153,FALSE,positive
lh_G_orbital,0.0062,0.902,-0.0038,0.0167,FALSE,positive
lh_G_pariet_inf-Angular,0.0056,0.8864,-0.0042,0.0155,FALSE,positive
